dim_track_id,track_name,album_name,artist_name,composer,genre,mediatype
3562,Track 3562,Vozes do MPB,Various Artists,Jimi Hendrix,Rock & Roll,AAC audio file
3729,Burning Bridges,Vozes do MPB,Various Artists,"Robert Plant, Jimmy Page",Underground Rap,Protected AAC audio file
3626,Unbroken Chains,Vozes do MPB,Various Artists,"Bono, The Edge",Neo-Soul,AAC audio file
3586,Whispers in the Dark,Black Sabbath,Black Sabbath,Kurt Cobain,Avant-Garde Jazz,Purchased AAC audio file
3526,Track 3526,Black Sabbath,Black Sabbath,Jimi Hendrix,Soul,Protected AAC audio file
3733,Starlight Serenade,Black Sabbath,Black Sabbath,Jimi Hendrix,Neo-Soul,Purchased AAC audio file
3536,Neon Nights,Black Sabbath,Black Sabbath,"Mick Jagger, Keith Richards",Grunge,Purchased AAC audio file
3589,Neon Nights,Black Sabbath,Black Sabbath,"John Lennon, Paul McCartney",Breakbeat,Protected MPEG-4 video file
3514,Track 3514,Black Sabbath,Black Sabbath,"Mick Jagger, Keith Richards",Travel,AAC audio file
3696,Track 3696,Black Sabbath,Black Sabbath,"Robert Plant, Jimmy Page",Children’s Music,Protected MPEG-4 video file
3581,Midnight Drive,Black Sabbath,Black Sabbath,Kurt Cobain,Urban Cowboy,Protected AAC audio file
3618,Track 3618,Carnaval 2001,Various Artists,Jimi Hendrix,Jungle/Drum’n'bass,Purchased AAC audio file
3584,Track 3584,Carnaval 2001,Various Artists,Freddie Mercury,Latino,Protected MPEG-4 video file
3723,Track 3723,Carnaval 2001,Various Artists,"Robert Plant, Jimmy Page",Healing,Protected MPEG-4 video file
3507,Track 3507,Carnaval 2001,Various Artists,"Angus Young, Malcolm Young, Brian Johnson",Old School Rap,AAC audio file
3730,Echoes of Yesterday,Carnaval 2001,Various Artists,"Bono, The Edge",Singer/Songwriter,MPEG audio file
3543,Track 3543,Greatest Kiss,Kiss,"John Lennon, Paul McCartney",Electronica,Protected MPEG-4 video file
3656,Track 3656,Greatest Kiss,Kiss,"Mick Jagger, Keith Richards",Chicano,MPEG audio file
3532,Burning Bridges,Greatest Kiss,Kiss,"James Hetfield, Lars Ulrich",Meditation,Purchased AAC audio file
3590,Track 3590,Greatest Kiss,Kiss,"John Lennon, Paul McCartney",Hardcore Punk,MPEG audio file
3725,Track 3725,Meus Momentos,Gonzaguinha,"John Lennon, Paul McCartney",Classic Blues,MPEG audio file
3536,Track 3536,Purpendicular,Deep Purple,"Robert Plant, Jimmy Page",Trance,MPEG audio file
3560,Track 3560,Purpendicular,Deep Purple,Freddie Mercury,Kayokyoku,MPEG audio file
3572,Track 3572,Purpendicular,Deep Purple,"James Hetfield, Lars Ulrich",Electronic,Purchased AAC audio file
3725,Into the Abyss,Afrociberdelia,Chico Science & Nação Zumbi,"Robert Plant, Jimmy Page",Exercise,Protected MPEG-4 video file
3642,Fading Stardust,Afrociberdelia,Chico Science & Nação Zumbi,"Angus Young, Malcolm Young, Brian Johnson",Conjunto,MPEG audio file
3667,Whispers in the Dark,Afrociberdelia,Chico Science & Nação Zumbi,Freddie Mercury,Electric Blues,Purchased AAC audio file
3722,Track 3722,Afrociberdelia,Chico Science & Nação Zumbi,Kurt Cobain,Nelson),AAC audio file
3661,Track 3661,Afrociberdelia,Chico Science & Nação Zumbi,Freddie Mercury,Alternative Country,MPEG audio file
3659,Track 3659,Afrociberdelia,Chico Science & Nação Zumbi,Kurt Cobain,Dixieland,MPEG audio file
3571,Sunset Overdrive,Afrociberdelia,Chico Science & Nação Zumbi,"James Hetfield, Lars Ulrich",Industrial,Purchased AAC audio file
3624,Track 3624,American Idiot,Green Day,"Bono, The Edge",Disco,MPEG audio file
3557,Starlight Serenade,American Idiot,Green Day,"Mick Jagger, Keith Richards",American Trad Rock,MPEG audio file
3588,Frozen in Time,American Idiot,Green Day,"Robert Plant, Jimmy Page",Impressionist,Protected AAC audio file
3507,Frozen in Time,American Idiot,Green Day,"Mick Jagger, Keith Richards",Halloween,MPEG audio file
3600,Track 3600,Dance Of Death,Iron Maiden,"James Hetfield, Lars Ulrich",Latin Jazz,MPEG audio file
3687,Starlight Serenade,Dance Of Death,Iron Maiden,"Mick Jagger, Keith Richards",Alternative Country,AAC audio file
3558,Track 3558,Dance Of Death,Iron Maiden,"John Lennon, Paul McCartney",Alternative Rap,Purchased AAC audio file
3731,Unbroken Chains,Dance Of Death,Iron Maiden,Freddie Mercury,Soul,MPEG audio file
3644,Track 3644,Dance Of Death,Iron Maiden,"James Hetfield, Lars Ulrich",Holiday: Other,AAC audio file
3634,Track 3634,Dance Of Death,Iron Maiden,"James Hetfield, Lars Ulrich",Lounge,AAC audio file
3657,Echoes of Yesterday,Into The Light,David Coverdale,"Robert Plant, Jimmy Page",Renaissance,Protected AAC audio file
3732,Revolution's End,Minha Historia,Chico Buarque,Jimi Hendrix,Bluegrass,Protected AAC audio file
3673,Starlight Serenade,Minha Historia,Chico Buarque,"Bono, The Edge",Hip-Hop,AAC audio file
3652,Sunset Overdrive,Minha Historia,Chico Buarque,"Robert Plant, Jimmy Page",Christmas: Pop,AAC audio file
3629,Track 3629,Minha Historia,Chico Buarque,"Mick Jagger, Keith Richards",Electronica,AAC audio file
3636,Track 3636,Minha Historia,Chico Buarque,David Bowie,Lounge,MPEG audio file
3663,Violet Skies,Minha Historia,Chico Buarque,Jimi Hendrix,Christian Metal,Protected MPEG-4 video file
3538,Track 3538,The Real Thing,Faith No More,"Angus Young, Malcolm Young, Brian Johnson",Classic,Protected MPEG-4 video file
3701,Track 3701,The Real Thing,Faith No More,"Robert Plant, Jimmy Page",British Invasion,AAC audio file
3570,Track 3570,The Real Thing,Faith No More,Jimi Hendrix,Disney,Protected AAC audio file
3688,Lost in the Beat,The Real Thing,Faith No More,Jimi Hendrix,Indie Rock,Protected MPEG-4 video file
3570,The Last Encore,Warner 25 Anos,Antônio Carlos Jobim,"Angus Young, Malcolm Young, Brian Johnson",British Invasion,Purchased AAC audio file
3567,Track 3567,Warner 25 Anos,Antônio Carlos Jobim,"Robert Plant, Jimmy Page",Christmas,Protected AAC audio file
3718,Track 3718,Warner 25 Anos,Antônio Carlos Jobim,Freddie Mercury,German Folk,Protected AAC audio file
3583,Neon Nights,Warner 25 Anos,Antônio Carlos Jobim,"James Hetfield, Lars Ulrich",Electronic,AAC audio file
3580,Waves of the Past,A Real Dead One,Iron Maiden,David Bowie,Roots Reggae,AAC audio file
3625,Into the Abyss,A Real Dead One,Iron Maiden,"John Lennon, Paul McCartney",Cool,MPEG audio file
3516,Track 3516,A Real Dead One,Iron Maiden,"Bono, The Edge",Conjunto,Protected MPEG-4 video file
3703,Lost in the Beat,A Real Dead One,Iron Maiden,"Robert Plant, Jimmy Page",Tex-Mex,AAC audio file
3657,Track 3657,A Real Dead One,Iron Maiden,Jimi Hendrix,East Coast Rap,Protected AAC audio file
3651,Track 3651,A Real Dead One,Iron Maiden,David Bowie,Christmas: Classical,MPEG audio file
3685,Dreams of a Rebel,A Real Dead One,Iron Maiden,Jimi Hendrix,Vocal Pop,Protected AAC audio file
3528,Lost in the Beat,A Real Dead One,Iron Maiden,"Robert Plant, Jimmy Page",Fusion,AAC audio file
3690,Track 3690,A Real Live One,Iron Maiden,"Robert Plant, Jimmy Page",Southern Gospel,Purchased AAC audio file
3592,Track 3592,A Real Live One,Iron Maiden,"Bono, The Edge",March (Marching Band),Protected AAC audio file
3513,Track 3513,A Real Live One,Iron Maiden,Kurt Cobain,Gangsta Rap,Purchased AAC audio file
3683,Fading Stardust,A Real Live One,Iron Maiden,"Robert Plant, Jimmy Page",Classic Blues,MPEG audio file
3719,Track 3719,A Real Live One,Iron Maiden,"Mick Jagger, Keith Richards",Dubstep,Purchased AAC audio file
3687,Track 3687,A Real Live One,Iron Maiden,Kurt Cobain,Britpop,Purchased AAC audio file
3593,Into the Abyss,A Real Live One,Iron Maiden,"Angus Young, Malcolm Young, Brian Johnson",Inspirational – Christian & Gospel,Purchased AAC audio file
3597,Phoenix Rising,A Real Live One,Iron Maiden,Freddie Mercury,Contemporary Blues,Purchased AAC audio file
3711,Track 3711,A Real Live One,Iron Maiden,David Bowie,Arena Rock,Protected AAC audio file
3594,Track 3594,Axé Bahia 2001,Various Artists,David Bowie,Country,Purchased AAC audio file
3705,Frozen in Time,Axé Bahia 2001,Various Artists,"John Lennon, Paul McCartney",Quiet Storm,MPEG audio file
3509,Track 3509,Axé Bahia 2001,Various Artists,"Robert Plant, Jimmy Page",Foreign Cinema,Protected AAC audio file
3528,Track 3528,Axé Bahia 2001,Various Artists,Jimi Hendrix,Traditional Bluegrass,Purchased AAC audio file
3555,Echoes of Yesterday,Brave New World,Iron Maiden,"Angus Young, Malcolm Young, Brian Johnson",Lounge,Purchased AAC audio file
3683,Track 3683,Brave New World,Iron Maiden,"Robert Plant, Jimmy Page",Ethio-jazz,Protected AAC audio file
3621,Track 3621,Brave New World,Iron Maiden,"James Hetfield, Lars Ulrich",Southern Rock,Purchased AAC audio file
3728,The Last Encore,Brave New World,Iron Maiden,Freddie Mercury,Dance / EMD,Protected AAC audio file
3617,Track 3617,Brave New World,Iron Maiden,Freddie Mercury,Renaissance,MPEG audio file
3517,Track 3517,Brave New World,Iron Maiden,Freddie Mercury,Smooth Jazz,MPEG audio file
3710,Track 3710,Da Lama Ao Caos,Chico Science & Nação Zumbi,"James Hetfield, Lars Ulrich",Breakbeat,Protected MPEG-4 video file
3692,Track 3692,Da Lama Ao Caos,Chico Science & Nação Zumbi,"James Hetfield, Lars Ulrich",Romantic,Purchased AAC audio file
3613,Track 3613,Da Lama Ao Caos,Chico Science & Nação Zumbi,Freddie Mercury,Hardcore Rap,MPEG audio file
3708,Revolution's End,Da Lama Ao Caos,Chico Science & Nação Zumbi,"John Lennon, Paul McCartney",Classic Blues,AAC audio file
3720,Track 3720,Minha História,Os Mutantes,"Mick Jagger, Keith Richards",Romantic,Purchased AAC audio file
3567,Waves of the Past,Minha História,Os Mutantes,Freddie Mercury,Gangsta Rap,AAC audio file
3591,Track 3591,Minha História,Os Mutantes,"Robert Plant, Jimmy Page",Contemporary Bluegrass,MPEG audio file
3644,Echoes of Yesterday,Minha História,Os Mutantes,"John Lennon, Paul McCartney",March (Marching Band),Purchased AAC audio file
3693,Track 3693,Minha História,Os Mutantes,"Mick Jagger, Keith Richards",Teen Pop,AAC audio file
3512,Track 3512,Chemical Wedding,Bruce Dickinson,Jimi Hendrix,Vocal Pop,MPEG audio file
3574,Track 3574,Chemical Wedding,Bruce Dickinson,"Mick Jagger, Keith Richards",Christian Rap,Purchased AAC audio file
3546,Burning Bridges,Chemical Wedding,Bruce Dickinson,Jimi Hendrix,Jam Bands,Protected AAC audio file
3576,Track 3576,Chemical Wedding,Bruce Dickinson,Jimi Hendrix,Chant,Purchased AAC audio file
3505,Chasing Shadows,Chemical Wedding,Bruce Dickinson,"Angus Young, Malcolm Young, Brian Johnson",Traditional Pop,AAC audio file
3705,Track 3705,Fear Of The Dark,Iron Maiden,Kurt Cobain,Steampunk,Protected AAC audio file
3530,Track 3530,Fear Of The Dark,Iron Maiden,"Bono, The Edge",Classic Christian,AAC audio file
3584,Waves of the Past,Fear Of The Dark,Iron Maiden,Jimi Hendrix,Hip-Hop,Protected MPEG-4 video file
3700,Track 3700,Greatest Hits II,Queen,"John Lennon, Paul McCartney",Christian Metal,Protected MPEG-4 video file
3681,Into the Abyss,Greatest Hits II,Queen,"Mick Jagger, Keith Richards",Goth Rock,Protected MPEG-4 video file
3696,Echoes of Yesterday,Greatest Hits II,Queen,David Bowie,Enka,Purchased AAC audio file
3508,Track 3508,Album Of The Year,Faith No More,David Bowie,Relaxation,MPEG audio file
3671,Track 3671,Album Of The Year,Faith No More,Kurt Cobain,TV Soundtrack,MPEG audio file
3724,The Last Encore,Album Of The Year,Faith No More,"John Lennon, Paul McCartney",Chanukah,AAC audio file
3730,Track 3730,Album Of The Year,Faith No More,"James Hetfield, Lars Ulrich",Christmas: Religious,AAC audio file
3666,Whispers in the Dark,Album Of The Year,Faith No More,"Angus Young, Malcolm Young, Brian Johnson",Southern Rock,AAC audio file
3588,Track 3588,Album Of The Year,Faith No More,David Bowie,Tex-Mex / Tejano,Protected MPEG-4 video file
3671,Into the Abyss,Balls to the Wall,Accept,"James Hetfield, Lars Ulrich",Classic Christian,MPEG audio file
3723,Lost in the Beat,Balls to the Wall,Accept,Kurt Cobain,Disney,MPEG audio file
3578,Track 3578,Balls to the Wall,Accept,David Bowie,Hip-Hop,MPEG audio file
3668,Waves of the Past,Balls to the Wall,Accept,"Bono, The Edge",Fusion,Protected AAC audio file
3591,Whispers in the Dark,Balls to the Wall,Accept,Jimi Hendrix,Classic Christian,AAC audio file
3535,Track 3535,"Chronicle, Vol. 1",Creedence Clearwater Revival,Freddie Mercury,Surf,Protected MPEG-4 video file
3547,Into the Abyss,"Chronicle, Vol. 1",Creedence Clearwater Revival,Freddie Mercury,Jam Bands,AAC audio file
3679,The Last Encore,"Chronicle, Vol. 1",Creedence Clearwater Revival,Kurt Cobain,Underground Rap,MPEG audio file
3544,Track 3544,"Chronicle, Vol. 1",Creedence Clearwater Revival,"Angus Young, Malcolm Young, Brian Johnson",Soft Rock,Protected MPEG-4 video file
3640,The Last Encore,"Chronicle, Vol. 1",Creedence Clearwater Revival,"Angus Young, Malcolm Young, Brian Johnson",Outlaw Country,AAC audio file
3602,Track 3602,"Chronicle, Vol. 1",Creedence Clearwater Revival,"Angus Young, Malcolm Young, Brian Johnson",Bop,Protected MPEG-4 video file
3605,Unbroken Chains,Let There Be Rock,AC/DC,Freddie Mercury,Christmas: R&B,Protected MPEG-4 video file
3714,Fading Stardust,Let There Be Rock,AC/DC,Kurt Cobain,Christmas: Classic,AAC audio file
3684,Track 3684,Let There Be Rock,AC/DC,"James Hetfield, Lars Ulrich",Underground Rap,Protected MPEG-4 video file
3706,Fading Stardust,Let There Be Rock,AC/DC,"Angus Young, Malcolm Young, Brian Johnson",Qawwali,AAC audio file
3563,Starlight Serenade,Let There Be Rock,AC/DC,Freddie Mercury,Techno,Purchased AAC audio file
3535,Electric Soul,Let There Be Rock,AC/DC,Freddie Mercury,House,Protected MPEG-4 video file
3650,Track 3650,Let There Be Rock,AC/DC,"Robert Plant, Jimmy Page",Electronic Rock,Purchased AAC audio file
3521,Neon Nights,Let There Be Rock,AC/DC,"Bono, The Edge",Experimental Rock,AAC audio file
3717,Track 3717,Restless and Wild,Accept,Freddie Mercury,Prog-Rock/Art Rock,Protected MPEG-4 video file
3604,Midnight Drive,Restless and Wild,Accept,"Mick Jagger, Keith Richards",Contemporary Blues,AAC audio file
3586,Track 3586,Restless and Wild,Accept,David Bowie,Christian & Gospel,Protected AAC audio file
3519,Track 3519,Restless and Wild,Accept,"Mick Jagger, Keith Richards",Standards,MPEG audio file
3721,Whispers in the Dark,Restless and Wild,Accept,Jimi Hendrix,Sing-Along,Protected AAC audio file
3533,Neon Nights,Restless and Wild,Accept,David Bowie,Vocal Jazz,Purchased AAC audio file
3590,Frozen in Time,Restless and Wild,Accept,"Angus Young, Malcolm Young, Brian Johnson",Honky Tonk,Protected AAC audio file
3702,Track 3702,Heart of the Night,Spyro Gyra,"Mick Jagger, Keith Richards",Hip-Hop/Rap,Purchased AAC audio file
3545,Electric Soul,Heart of the Night,Spyro Gyra,Freddie Mercury,Foreign Cinema,Protected AAC audio file
3646,Track 3646,Heart of the Night,Spyro Gyra,Freddie Mercury,Contemporary Singer/Songwriter,Protected MPEG-4 video file
3611,Track 3611,Heart of the Night,Spyro Gyra,"Mick Jagger, Keith Richards",Traditional Bluegrass,Purchased AAC audio file
3678,Track 3678,Jagged Little Pill,Alanis Morissette,"Robert Plant, Jimmy Page",Raíces,Purchased AAC audio file
3549,Track 3549,Slaves And Masters,Deep Purple,"Angus Young, Malcolm Young, Brian Johnson",Modern Composition,Purchased AAC audio file
3669,Track 3669,Slaves And Masters,Deep Purple,Freddie Mercury,Classic,MPEG audio file
3675,Track 3675,Slaves And Masters,Deep Purple,"Mick Jagger, Keith Richards",Hi-NRG / Eurodance,AAC audio file
3511,Track 3511,BackBeat Soundtrack,BackBeat,Freddie Mercury,Chanukah,MPEG audio file
112,Long Tall Sally,BackBeat Soundtrack,BackBeat,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",Rock And Roll,MPEG audio file
111,Money,BackBeat Soundtrack,BackBeat,"Berry Gordy, Jr./Janie Bradford",Rock And Roll,MPEG audio file
119,Roadrunner,BackBeat Soundtrack,BackBeat,Bo Diddley,Rock And Roll,MPEG audio file
